antibiotic	measurement_value	resistant_phenotype	evidence	genome_id	genome_name	laboratory_typing_method	taxon_id	measurement_sign	measurement_unit
chloramphenicol		Resistant	Laboratory Method	470.22928	Acinetobacter baumannii 20200317_MGL_38	Disk diffusion	470		
ticarcillin/clavulanic acid		Resistant	Laboratory Method	470.1752	Acinetobacter baumannii strain A388	Disk diffusion	470		
ceftriaxone		Resistant	Laboratory Method	470.16315	Acinetobacter baumannii 165_an	Disk diffusion	470		
levofloxacin	4	Resistant	Laboratory Method	470.7444	Acinetobacter baumannii strain MRSN11714	Broth dilution	470	>	mg/L
cefazolin	64	Resistant	Laboratory Method	470.8027	Acinetobacter baumannii strain MRSN7740	Broth dilution	470	>=	mg/L
amikacin	32	Resistant	Laboratory Method	470.8081	Acinetobacter baumannii strain MRSN8899	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.7965	Acinetobacter baumannii strain MRSN7640	Broth dilution	470	>	mg/L
cefepime		Resistant	Laboratory Method	470.695	Acinetobacter baumannii ABUH184310		470		
nitrofurantoin	512	Resistant	Laboratory Method	470.7994	Acinetobacter baumannii strain MRSN7683	Broth dilution	470	>=	mg/L
tetracycline		Resistant	Laboratory Method	470.22938	Acinetobacter baumannii MGL_Ab_7	Disk diffusion	470		
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7436	Acinetobacter baumannii strain MRSN11705	Broth dilution	470	>=	mg/L
ceftazidime		Resistant	Laboratory Method	470.629	Acinetobacter baumannii ABUH588656		470		
imipenem		Resistant	Laboratory Method	470.16223	Acinetobacter baumannii BAL_212	Disk diffusion	470		
tobramycin	8	Resistant	Laboratory Method	470.8082	Acinetobacter baumannii strain MRSN89	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7811	Acinetobacter baumannii strain MRSN7392	Broth dilution	470	>	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7984	Acinetobacter baumannii strain MRSN7670	Broth dilution	470	>=	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.7427	Acinetobacter baumannii strain MRSN11683	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.8024	Acinetobacter baumannii strain MRSN7730	Broth dilution	470	>	mg/L
ceftriaxone	64	Resistant	Laboratory Method	470.7501	Acinetobacter baumannii strain MRSN11803	Broth dilution	470	>=	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16259	Acinetobacter baumannii BAL_336	Disk diffusion	470		
cefepime		Resistant	Laboratory Method	470.6192	Acinetobacter baumannii strain AB_267	Disk diffusion	470		
levofloxacin	8	Resistant	Laboratory Method	470.7847	Acinetobacter baumannii strain MRSN7447	Broth dilution	470	>=	mg/L
cefepime	32	Resistant	Laboratory Method	470.7384	Acinetobacter baumannii strain FDA-CDC-AR_0284	Broth dilution	470	=	mg/L
ceftriaxone		Resistant	Laboratory Method	470.8396	Acinetobacter baumannii strain Pesh-04		470		
ceftriaxone	32	Resistant	Laboratory Method	470.7784	Acinetobacter baumannii strain MRSN7361	Broth dilution	470	>	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7980	Acinetobacter baumannii strain MRSN7662	Broth dilution	470	>=	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7936	Acinetobacter baumannii strain MRSN7582	Broth dilution	470	>=	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7886	Acinetobacter baumannii strain MRSN7500	Broth dilution	470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7886	Acinetobacter baumannii strain MRSN7500	Broth dilution	470	>	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7810	Acinetobacter baumannii strain MRSN7391	Broth dilution	470	>	mg/L
gentamicin		Resistant	Laboratory Method	470.6247	Acinetobacter baumannii strain AB_029	Disk diffusion	470		
ceftazidime	16	Resistant	Laboratory Method	470.7564	Acinetobacter baumannii strain MRSN1971	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7723	Acinetobacter baumannii strain MRSN7278	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole		Resistant	Laboratory Method	470.699	Acinetobacter baumannii ABUH71296		470		
gentamicin	16	Resistant	Laboratory Method	470.7845	Acinetobacter baumannii strain MRSN7441	Broth dilution	470	>=	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7643	Acinetobacter baumannii strain MRSN7160	Broth dilution	470	>	mg/L
tobramycin	8	Resistant	Laboratory Method	470.8081	Acinetobacter baumannii strain MRSN8899	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.1556	Acinetobacter baumannii strain MRSN20315	Broth dilution	470	>	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.7503	Acinetobacter baumannii strain MRSN11806	Broth dilution	470	>	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7439	Acinetobacter baumannii strain MRSN11708	Broth dilution	470	>=	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7552	Acinetobacter baumannii strain MRSN15082	Broth dilution	470	>=	mg/L
ceftriaxone		Resistant	Laboratory Method	470.6214	Acinetobacter baumannii strain AB_149	Disk diffusion	470		
imipenem	8	Resistant	Laboratory Method	470.2246	Acinetobacter baumannii strain CCF5		470	>=	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7463	Acinetobacter baumannii strain MRSN11746	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.7689	Acinetobacter baumannii strain MRSN7235	Broth dilution	470	>	mg/L
amikacin	64	Resistant	Laboratory Method	470.8090	Acinetobacter baumannii strain MRSN899	Broth dilution	470	>=	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.7724	Acinetobacter baumannii strain MRSN7279	Broth dilution	470	>	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.24291	Acinetobacter baumannii MGL_Ab_8	Disk diffusion	470		
gentamicin	8	Resistant	Laboratory Method	470.7462	Acinetobacter baumannii strain MRSN11745	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7618	Acinetobacter baumannii strain MRSN7129	Broth dilution	470	>	mg/L
tobramycin		Resistant	Laboratory Method	470.702	Acinetobacter baumannii ABUH514287		470		
levofloxacin	8	Resistant	Laboratory Method	470.7347	Acinetobacter baumannii strain 456	Broth dilution	470	>=	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.7543	Acinetobacter baumannii strain MRSN15071	Broth dilution	470	>	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7460	Acinetobacter baumannii strain MRSN11742	Broth dilution	470	>=	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7446	Acinetobacter baumannii strain MRSN11720	Broth dilution	470	>=	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7642	Acinetobacter baumannii strain MRSN7159	Broth dilution	470	>=	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7777	Acinetobacter baumannii strain MRSN7353	Broth dilution	470	>	mg/L
cefepime	32	Resistant	Laboratory Method	470.7382	Acinetobacter baumannii strain FDA-CDC-AR_0282	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7816	Acinetobacter baumannii strain MRSN7401	Broth dilution	470	>	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7638	Acinetobacter baumannii strain MRSN7155	Broth dilution	470	>=	mg/L
ciprofloxacin	4	Resistant	Laboratory Method	470.7728	Acinetobacter baumannii strain MRSN7284	Broth dilution	470	>=	mg/L
gentamicin		Resistant	Laboratory Method	470.638	Acinetobacter baumannii ABUH355545		470		
meropenem	8	Resistant	Laboratory Method	470.2846	Acinetobacter baumannii strain AR_0035	Broth dilution	470	>	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.8081	Acinetobacter baumannii strain MRSN8899	Broth dilution	470	>=	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.7442	Acinetobacter baumannii strain MRSN11712	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.8056	Acinetobacter baumannii strain MRSN7807	Broth dilution	470	>	mg/L
ceftazidime	64	Resistant	Laboratory Method	470.7848	Acinetobacter baumannii strain MRSN7448	Broth dilution	470	>=	mg/L
gentamicin	16	Resistant	Laboratory Method	470.2253	Acinetobacter baumannii strain CCF16		470	>=	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.7931	Acinetobacter baumannii strain MRSN7576	Broth dilution	470	>	mg/L
erythromycin	13	Resistant	Laboratory Method	470.22929	Acinetobacter baumannii 20200317_MGL_36	Disk diffusion	470		mm
tetracycline	8	Resistant	Laboratory Method	470.7893	Acinetobacter baumannii strain MRSN7510	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7415	Acinetobacter baumannii strain MRSN10371	Broth dilution	470	>=	mg/L
gentamicin		Resistant	Laboratory Method	470.6213	Acinetobacter baumannii strain AB_161	Disk diffusion	470		
nitrofurantoin	512	Resistant	Laboratory Method	470.7542	Acinetobacter baumannii strain MRSN15070	Broth dilution	470	>=	mg/L
imipenem	16	Resistant	Laboratory Method	470.1564	Acinetobacter baumannii strain MRSN6269	Broth dilution	470	>=	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7724	Acinetobacter baumannii strain MRSN7279	Broth dilution	470	>=	mg/L
levofloxacin		Resistant	Laboratory Method	470.6172	Acinetobacter baumannii strain AB_401	Disk diffusion	470		
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.7691	Acinetobacter baumannii strain MRSN7236	Broth dilution	470	>	mg/L
amikacin	32	Resistant	Laboratory Method	470.7561	Acinetobacter baumannii strain MRSN1738	Broth dilution	470	>	mg/L
tobramycin	16	Resistant	Laboratory Method	470.7402	Acinetobacter baumannii strain FDA-CDC-AR_0302	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7924	Acinetobacter baumannii strain MRSN7566	Broth dilution	470	>	mg/L
cefazolin	64	Resistant	Laboratory Method	470.8048	Acinetobacter baumannii strain MRSN7791	Broth dilution	470	>=	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.672	Acinetobacter baumannii ABUH535423		470		
imipenem	8	Resistant	Laboratory Method	470.7551	Acinetobacter baumannii strain MRSN15081	Broth dilution	470	>	mg/L
spectinomycin		Resistant	Laboratory Method	470.24282	Acinetobacter baumannii 20200317_MGL_42	Disk diffusion	470		
ceftriaxone	64	Resistant	Laboratory Method	470.7688	Acinetobacter baumannii strain MRSN7232	Broth dilution	470	>=	mg/L
ampicillin		Resistant	Laboratory Method	470.22941	Acinetobacter baumannii MGL_Ab_4	Disk diffusion	470		
tetracycline		Resistant	Laboratory Method	470.718	Acinetobacter baumannii ABUH134192		470		
aztreonam		Resistant	Laboratory Method	470.1333	Acinetobacter baumannii UH66_271		470		
tobramycin	8	Resistant	Laboratory Method	470.1560	Acinetobacter baumannii strain MRSN16874	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7608	Acinetobacter baumannii strain MRSN7116	Broth dilution	470	>	mg/L
piperacillin/tazobactam	128	Resistant	Laboratory Method	470.2261	Acinetobacter baumannii strain CCF35		470	>=	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.16257	Acinetobacter baumannii BAL_330	Disk diffusion	470		
neomycin		Resistant	Laboratory Method	470.1743	Acinetobacter baumannii strain J1	Disk diffusion	470		
piperacillin/tazobactam	128	Resistant	Laboratory Method	470.2257	Acinetobacter baumannii strain CCF21		470	>=	mg/L
tobramycin		Resistant	Laboratory Method	470.8396	Acinetobacter baumannii strain Pesh-04		470		
penicillin		Resistant	Laboratory Method	470.22920	Acinetobacter baumannii MGL_175	Disk diffusion	470		
nitrofurantoin	512	Resistant	Laboratory Method	470.7435	Acinetobacter baumannii strain MRSN11701	Broth dilution	470	>=	mg/L
meropenem		Resistant	Laboratory Method	470.6243	Acinetobacter baumannii strain AB_043	Disk diffusion	470		
ceftazidime		Resistant	Laboratory Method	470.6174	Acinetobacter baumannii strain AB_369	Disk diffusion	470		
tetracycline		Resistant	Laboratory Method	470.1758	Acinetobacter baumannii strain 6772166	Disk diffusion	470		
ceftriaxone	32	Resistant	Laboratory Method	470.8021	Acinetobacter baumannii strain MRSN7724	Broth dilution	470	>	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7592	Acinetobacter baumannii strain MRSN7079	Broth dilution	470	>=	mg/L
amikacin	64	Resistant	Laboratory Method	470.2238	Acinetobacter baumannii strain CCF34		470	>=	mg/L
tetracycline	8	Resistant	Laboratory Method	470.1565	Acinetobacter baumannii strain MRSN6273	Broth dilution	470	>	mg/L
kanamycin		Resistant	Laboratory Method	470.22910	Acinetobacter baumannii MGL_112	Disk diffusion	470		
gentamicin		Resistant	Laboratory Method	470.16212	Acinetobacter baumannii BAL_188	Disk diffusion	470		
ampicillin	32	Resistant	Laboratory Method	470.7448	Acinetobacter baumannii strain MRSN11722	Broth dilution	470	>=	mg/L
kanamycin		Resistant	Laboratory Method	470.1758	Acinetobacter baumannii strain 6772166	Disk diffusion	470		
tobramycin	8	Resistant	Laboratory Method	470.8084	Acinetobacter baumannii strain MRSN8900	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7661	Acinetobacter baumannii strain MRSN7185	Broth dilution	470	>	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.8008	Acinetobacter baumannii strain MRSN7707	Broth dilution	470	>=	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7851	Acinetobacter baumannii strain MRSN7456	Broth dilution	470	>=	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7681	Acinetobacter baumannii strain MRSN7223	Broth dilution	470	>=	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7822	Acinetobacter baumannii strain MRSN7407	Broth dilution	470	>	mg/L
levofloxacin		Resistant	Laboratory Method	470.653	Acinetobacter baumannii ABUH430466		470		
ampicillin/sulbactam		Resistant	Laboratory Method	470.705	Acinetobacter baumannii ABUH71277		470		
chloramphenicol		Resistant	Laboratory Method	470.24279	Acinetobacter baumannii MGL_165	Disk diffusion	470		
gentamicin	8	Resistant	Laboratory Method	470.7690	Acinetobacter baumannii strain MRSN7234	Broth dilution	470	>	mg/L
cefepime		Resistant	Laboratory Method	470.6239	Acinetobacter baumannii strain AB_097	Disk diffusion	470		
amikacin	32	Resistant	Laboratory Method	470.7657	Acinetobacter baumannii strain MRSN7175	Broth dilution	470	>	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.7746	Acinetobacter baumannii strain MRSN7308	Broth dilution	470	>	mg/L
ceftriaxone	64	Resistant	Laboratory Method	470.7822	Acinetobacter baumannii strain MRSN7407	Broth dilution	470	>=	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16276	Acinetobacter baumannii NCSR_132	Disk diffusion	470		
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.7603	Acinetobacter baumannii strain MRSN7108	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7427	Acinetobacter baumannii strain MRSN11683	Broth dilution	470	>=	mg/L
ampicillin	32	Resistant	Laboratory Method	470.2270	Acinetobacter baumannii strain CCF19		470	>=	mg/L
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7451	Acinetobacter baumannii strain MRSN11726	Broth dilution	470	>=	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7528	Acinetobacter baumannii strain MRSN15038	Broth dilution	470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7641	Acinetobacter baumannii strain MRSN7158	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7900	Acinetobacter baumannii strain MRSN7520	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7953	Acinetobacter baumannii strain MRSN7612	Broth dilution	470	>	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16310	Acinetobacter baumannii 91_n	Disk diffusion	470		
cefotaxime	32	Resistant	Laboratory Method	470.7796	Acinetobacter baumannii strain MRSN7376	Broth dilution	470	>	mg/L
